Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"30578-1","Creator","3 in 1",2021,"German Shepherd",,76,,,,,5702016915822,,17,19.5,1,0.046,"",1,1,0,,,,,,,,,4.3000,,"01/01/2021","31/12/2021"
"30605-1","Star Wars","The Force Awakens",2016,"Finn (FN-2187)",1,5,,,,,5702015618113,673419252669,,,,,"",1,1,0,,,,,,,,,7.7100,14.0000,"",""
"31091-1","Creator","3 in 1",2019,"Shuttle Transporter",,341,24.99,24.99,34.99,24.36,5702016367867,673419302128,35.4,19.1,5.9,0.51,"",1,1,0,,,,,,,,,28.6100,20.3800,"",""
"40174-1","Miscellaneous","Games",2017,"LEGO Chess",,1450,45.99,54.99,69.99,54.99,5702015868419,,54,28.2,9.1,,"",1,1,0,,,,,,,,,,,"01/01/2017","31/12/2022"
"40268-1","Star Wars","Rogue One",2017,"R3-M2",1,21,,,,,,,14,14,0.9,,"",1,1,0,,,,,,,,,7.1300,6.7300,"01/01/2017","31/12/2017"
"40298-1","Star Wars","The Last Jedi",2018,"DJ",1,22,,,,,,,14,14,0.8,,"",1,1,0,,,,,,,,,6.0700,3.9500,"01/01/2018","31/12/2018"
"40391-1","Brick Sketches","Star Wars",2020,"First Order Stormtrooper",,151,14.99,16.99,19.99,19.99,5702016656787,,14.1,19.1,7.1,,"",1,1,0,,,,,,,,,21.4800,,"15/07/2020","31/12/2021"
"40431-1","Brick Sketches","Star Wars",2020,"BB-8",,171,14.99,16.99,19.99,16.99,5702016762426,,14.1,19.1,7.1,,"",1,1,0,,,,,,,,,17.5500,,"15/07/2020","31/12/2021"
"40440-1","BrickHeadz","Pets",2021,"German Shepherds",,247,13.49,14.99,19.99,14.99,5702016910353,,15.6,14,7,0.244,"",1,1,0,,,,,,,,,22.1400,17.0300,"01/01/2021","31/12/2021"
"40451-1","Star Wars","Promotional",2021,"Tatooine Homestead",,217,14.99,16.99,,16.99,5702016910995,673419337427,,,,,"",1,1,0,,,,,,,,,28.8300,20.3200,"",""
"40516-1","Miscellaneous","",2021,"Everyone is Awesome",11,346,30.99,34.99,44.99,34.99,5702017106991,673419351751,35.2,18.9,6.8,0.566,"",1,1,0,,,,,,,,,55.2900,,"01/06/2021","31/12/2023"
"41602-1","BrickHeadz","Star Wars",2018,"Rey",,119,9.99,9.99,12.99,9.99,5702016074772,,9.1,12.2,7.8,,"",1,1,0,,,,,,,,,13.2600,12.4200,"01/01/2018","31/08/2018"
"41608-1","BrickHeadz","Star Wars",2018,"Han Solo",,141,9.99,9.99,12.99,9.99,5702016110975,,9.1,12.2,7.8,,"",1,1,0,,,,,,,,,14.1800,12.1500,"01/04/2018","30/11/2018"
"41609-1","BrickHeadz","Star Wars",2018,"Chewbacca",,149,9.99,9.99,12.99,9.99,,,9.1,12.2,7.8,,"",1,1,0,,,,,,,,,23.8200,15.5800,"01/04/2018","30/11/2018"
"41628-1","BrickHeadz","Star Wars",2018,"Princess Leia Organa",,124,9.99,9.99,12.99,9.99,5702016176490,,9.1,12.2,7.8,,"",1,1,0,,,,,,,,,17.9000,19.2900,"01/10/2018","31/12/2018"
"75030-1","Star Wars","Microfighters",2014,"Millennium Falcon Microfighter",1,94,8.99,9.99,12.99,9.99,5702015121019,673419209212,14.097,12.192,4.5974,0.1,"",1,1,0,,,,,,,,,24.7500,11.1500,"01/01/2014","31/07/2015"
"75049-1","Star Wars","Episode V",2014,"Snowspeeder",3,278,34.99,29.99,39.99,39.99,5702015122405,673419210126,22.1996,26.1874,6.1976,0.44,"",1,1,0,,,,,,,,,68.9900,33.9500,"01/06/2014","31/12/2015"
"75054-1","Star Wars","Episode V",2014,"AT-AT",5,1137,109.99,109.99,129.99,119.99,5702015123778,673419210560,48.006,37.7952,7.0612,1.67,"",1,1,0,,,,,,,,,246.3300,127.0900,"01/06/2014","31/12/2015"
